"행정구역별(시군구)","항목","단위","2010 년",
"광주광역시","남자","","5169",
"광주광역시","여자","","4433",
"동구","총인구","","104639",
"동구","남자","","51731",
"동구","여자","","52908",
"동구","총내국인","","103998",
"동구","남자","","51436",
"동구","여자","","52562",
"동구","총외국인","","641",
"동구","남자","","295",
"동구","여자","","346",
"서구","총인구","","305230",
"서구","남자","","150031",
"서구","여자","","155199",
"서구","총내국인","","304469",
"서구","남자","","149737",
"서구","여자","","154732",
"서구","총외국인","","761",
"서구","남자","","294",
"서구","여자","","467",
"남구","총인구","","215270",
"남구","남자","","104220",
"남구","여자","","111050",
"남구","총내국인","","214612",
"남구","남자","","104000",
"남구","여자","","110612",
"남구","총외국인","","658",
"남구","남자","","220",
"남구","여자","","438",
"북구","총인구","","480020",
"북구","남자","","237293",
"북구","여자","","242727",
"북구","총내국인","","477593",
"북구","남자","","236159",
"북구","여자","","241434",
"북구","총외국인","","2427",
"북구","남자","","1134",
"북구","여자","","1293",
"광산구","총인구","","370586",
"광산구","남자","","186055",
"광산구","여자","","184531",
"광산구","총내국인","","365471",
"광산구","남자","","182829",
"광산구","여자","","182642",
"광산구","총외국인","","5115",
"광산구","남자","","3226",
"광산구","여자","","1889",
"대전광역시","총인구","","1501859",
"대전광역시","남자","","750762",
"대전광역시","여자","","751097",
"대전광역시","총내국인","","1490158",
"대전광역시","남자","","745150",
"대전광역시","여자","","745008",
"대전광역시","총외국인","","11701",
"대전광역시","남자","","5612",
"대전광역시","여자","","6089",
"동구","총인구","","246915",
"동구","남자","","123437",
"동구","여자","","123478",
"동구","총내국인","","244344",
"동구","남자","","122354",
"동구","여자","","121990",
"동구","총외국인","","2571",
"동구","남자","","1083",
"동구","여자","","1488",
"중구","총인구","","255486",
"중구","남자","","125699",
"중구","여자","","129787",
"중구","총내국인","","254577",
"중구","남자","","125339",
"중구","여자","","129238",
"중구","총외국인","","909",
"중구","남자","","360",
"중구","여자","","549",
"서구","총인구","","500984",
"서구","남자","","245704",
"서구","여자","","255280",
"서구","총내국인","","498524",
"서구","남자","","244654",
"서구","여자","","253870",
"서구","총외국인","","2460",
"서구","남자","","1050",
"서구","여자","","1410",
"유성구","총인구","","293505",
"유성구","남자","","152136",
"유성구","여자","","141369",
"유성구","총내국인","","289303",
"유성구","남자","","149805",
"유성구","여자","","139498",
"유성구","총외국인","","4202",
"유성구","남자","","2331",
"유성구","여자","","1871",
"대덕구","총인구","","204969",
"대덕구","남자","","103786",
"대덕구","여자","","101183",
"대덕구","총내국인","","203410",
"대덕구","남자","","102998",
"대덕구","여자","","100412",
"대덕구","총외국인","","1559",
"대덕구","남자","","788",
"대덕구","여자","","771",
"울산광역시","총인구","","1082567",
"울산광역시","남자","","557694",
"울산광역시","여자","","524873",
"울산광역시","총내국인","","1071673",
"울산광역시","남자","","550869",
"울산광역시","여자","","520804",
"울산광역시","총외국인","","10894",
"울산광역시","남자","","6825",
"울산광역시","여자","","4069",
"중구","총인구","","222493",
"중구","남자","","113199",
"중구","여자","","109294",
"중구","총내국인","","221373",
"중구","남자","","112739",
"중구","여자","","108634",
"중구","총외국인","","1120",
"중구","남자","","460",
"중구","여자","","660",
"남구","총인구","","335340",
"남구","남자","","171077",
"남구","여자","","164263",
"남구","총내국인","","332617",
"남구","남자","","169544",
"남구","여자","","163073",
"남구","총외국인","","2723",
"남구","남자","","1533",
"남구","여자","","1190",
"동구","총인구","","166297",
"동구","남자","","88150",
"동구","여자","","78147",
"동구","총내국인","","164051",
"동구","남자","","86582",
"동구","여자","","77469",
"동구","총외국인","","2246",
"동구","남자","","1568",
"동구","여자","","678",
"북구","총인구","","169399",
"북구","남자","","88014",
"북구","여자","","81385",
"북구","총내국인","","167821",
"북구","남자","","86986",
"북구","여자","","80835",
"북구","총외국인","","1578",
"북구","남자","","1028",
"북구","여자","","550",
"울주군","총인구","","189038",
"울주군","남자","","97254",
"울주군","여자","","91784",
"울주군","총내국인","","185811",
"울주군","남자","","95018",
"울주군","여자","","90793",
"울주군","총외국인","","3227",
"울주군","남자","","2236",
"울주군","여자","","991",
"경기도","총인구","","11379459",
"경기도","남자","","5705613",
"경기도","여자","","5673846",
"경기도","총내국인","","11196053",
"경기도","남자","","5599570",
"경기도","여자","","5596483",
"경기도","총외국인","","183406",
"경기도","남자","","106043",
"경기도","여자","","77363",
"수원시","총인구","","1071913",
"수원시","남자","","538990",
"수원시","여자","","532923",
"수원시","총내국인","","1054053",
"수원시","남자","","529820",
"수원시","여자","","524233",
"수원시","총외국인","","17860",
"수원시","남자","","9170",
"수원시","여자","","8690",
"성남시","총인구","","949964",
"성남시","남자","","470760",
"성남시","여자","","479204",
"성남시","총내국인","","936267",
"성남시","남자","","464320",
"성남시","여자","","471947",
"성남시","총외국인","","13697",
"성남시","남자","","6440",
"성남시","여자","","7257",
"의정부시","총인구","","417412",
"의정부시","남자","","205500",
"의정부시","여자","","211912",
"의정부시","총내국인","","415170",
"의정부시","남자","","204529",
"의정부시","여자","","210641",
"의정부시","총외국인","","2242",
"의정부시","남자","","971",
"의정부시","여자","","1271",
"안양시","총인구","","602122",
"안양시","남자","","298756",
"안양시","여자","","303366",
"안양시","총내국인","","596772",
"안양시","남자","","296162",
"안양시","여자","","300610",
"안양시","총외국인","","5350",
"안양시","남자","","2594",
"안양시","여자","","2756",
"부천시","총인구","","853039",
"부천시","남자","","423670",
"부천시","여자","","429369",
"부천시","총내국인","","842482",
"부천시","남자","","418314",
"부천시","여자","","424168",
"부천시","총외국인","","10557",
"부천시","남자","","5356",
"부천시","여자","","5201",
"광명시","총인구","","329010",
"광명시","남자","","161990",
"광명시","여자","","167020",
"광명시","총내국인","","326418",
"광명시","남자","","160855",
"광명시","여자","","165563",
"광명시","총외국인","","2592",
"광명시","남자","","1135",
"광명시","여자","","1457",
"평택시","총인구","","388508",
"평택시","남자","","197235",
"평택시","여자","","191273",
"평택시","총내국인","","381731",
"평택시","남자","","193189",
"평택시","여자","","188542",
"평택시","총외국인","","6777",
"평택시","남자","","4046",
