"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),2017. 07,2017. 07,2017. 07,2015,2015,2015,2016,2016,2016
"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"경기도","구리시",3세,1619,863,756,1716,886,830,1652,882,770
"경기도","구리시",4세,1846,974,872,1612,804,808,1852,966,886
"경기도","구리시",5세,1783,878,905,1686,854,832,1705,853,852
"경기도","구리시",6세,1772,914,858,1644,873,771,1751,895,856
"경기도","구리시",7세,1655,869,786,1725,846,879,1687,892,795
"경기도","남양주시",0세,4634,2331,2303,5672,2869,2803,5204,2710,2494
"경기도","남양주시",1세,5999,3102,2897,6259,3238,3021,6262,3173,3089
"경기도","남양주시",2세,6388,3270,3118,6659,3490,3169,6451,3352,3099
"경기도","남양주시",3세,6602,3405,3197,7673,3863,3810,6815,3564,3251
"경기도","남양주시",4세,7292,3749,3543,7698,3947,3751,7752,3927,3825
"경기도","남양주시",5세,7721,3988,3733,7610,3931,3679,7674,3949,3725
"경기도","남양주시",6세,7863,4030,3833,7460,3821,3639,7644,3956,3688
"경기도","남양주시",7세,7442,3821,3621,7751,4022,3729,7420,3826,3594
"경기도","오산시",0세,1973,1042,931,2445,1259,1186,2194,1123,1071
"경기도","오산시",1세,2441,1194,1247,2666,1358,1308,2521,1295,1226
"경기도","오산시",2세,2602,1340,1262,2671,1382,1289,2629,1332,1297
"경기도","오산시",3세,2663,1336,1327,3043,1569,1474,2646,1350,1296
"경기도","오산시",4세,2869,1521,1348,3037,1555,1482,3014,1559,1455
"경기도","오산시",5세,2975,1511,1464,2927,1483,1444,2988,1520,1468
"경기도","오산시",6세,3009,1533,1476,2756,1440,1316,2863,1457,1406
"경기도","오산시",7세,2746,1413,1333,2901,1566,1335,2690,1409,1281
"경기도","시흥시",0세,2892,1456,1436,3371,1760,1611,3060,1541,1519
"경기도","시흥시",1세,3559,1796,1763,3383,1729,1654,3655,1922,1733
"경기도","시흥시",2세,3769,1987,1782,3589,1859,1730,3481,1784,1697
"경기도","시흥시",3세,3618,1840,1778,4118,2136,1982,3699,1915,1784
"경기도","시흥시",4세,4065,2112,1953,4110,2112,1998,4147,2170,1977
"경기도","시흥시",5세,4207,2206,2001,4133,2096,2037,4102,2130,1972
"경기도","시흥시",6세,4210,2163,2047,4099,2121,1978,4159,2112,2047
"경기도","시흥시",7세,4135,2106,2029,4212,2193,2019,4104,2113,1991
"경기도","군포시",0세,2285,1148,1137,2913,1491,1422,2642,1334,1308
"경기도","군포시",1세,2685,1366,1319,2952,1507,1445,2785,1425,1360
"경기도","군포시",2세,2702,1383,1319,2886,1461,1425,2798,1440,1358
"경기도","군포시",3세,2682,1399,1283,3060,1566,1494,2715,1368,1347
"경기도","군포시",4세,2728,1380,1348,3006,1545,1461,2904,1488,1416
"경기도","군포시",5세,2803,1414,1389,2936,1513,1423,2896,1483,1413
"경기도","군포시",6세,2905,1512,1393,2757,1408,1349,2790,1450,1340
"경기도","군포시",7세,2665,1383,1282,2953,1535,1418,2695,1371,1324
"경기도","의왕시",0세,1035,550,485,1308,680,628,1173,613,560
"경기도","의왕시",1세,1246,634,612,1398,725,673,1325,690,635
"경기도","의왕시",2세,1337,691,646,1523,725,798,1388,719,669
"경기도","의왕시",3세,1347,662,685,1612,869,743,1456,688,768
"경기도","의왕시",4세,1495,751,744,1618,832,786,1550,834,716
"경기도","의왕시",5세,1532,802,730,1574,834,740,1547,796,751
"경기도","의왕시",6세,1498,809,689,1461,743,718,1465,769,696
"경기도","의왕시",7세,1371,705,666,1513,776,737,1447,736,711
"경기도","하남시",0세,1921,1035,886,1346,686,660,2017,1020,997
"경기도","하남시",1세,2521,1253,1268,1564,802,762,2364,1195,1169
"경기도","하남시",2세,2532,1307,1225,1602,835,767,2373,1231,1142
"경기도","하남시",3세,2555,1302,1253,1869,998,871,2425,1248,1177
"경기도","하남시",4세,2723,1432,1291,1846,908,938,2668,1413,1255
"경기도","하남시",5세,2761,1407,1354,1805,940,865,2559,1285,1274
"경기도","하남시",6세,2749,1377,1372,1621,817,804,2513,1293,1220
"경기도","하남시",7세,2444,1266,1178,1660,834,826,2147,1084,1063
"경기도","용인시",0세,7406,3800,3606,9202,4748,4454,8247,4217,4030
"경기도","용인시",1세,9414,4786,4628,10097,5136,4961,10001,5165,4836
"경기도","용인시",2세,10292,5279,5013,10390,5355,5035,10385,5286,5099
"경기도","용인시",3세,10649,5427,5222,12001,6142,5859,10607,5462,5145
"경기도","용인시",4세,11332,5823,5509,11775,5987,5788,12150,6212,5938
"경기도","용인시",5세,11898,6125,5773,12031,6155,5876,11881,6068,5813
"경기도","용인시",6세,12370,6327,6043,11634,5996,5638,12059,6196,5863
"경기도","용인시",7세,11561,5933,5628,12403,6414,5989,11605,6028,5577
"경기도","처인구",0세,1507,763,744,1849,945,904,1676,849,827
"경기도","처인구",1세,1887,962,925,1885,962,923,1960,1006,954
"경기도","처인구",2세,1952,1006,946,1920,997,923,1952,1003,949
"경기도","처인구",3세,2065,1081,984,2185,1081,1104,1943,1023,920
"경기도","처인구",4세,2059,1060,999,2207,1135,1072,2217,1094,1123
"경기도","처인구",5세,2223,1106,1117,2150,1059,1091,2252,1164,1088
"경기도","처인구",6세,2274,1153,1121,2139,1109,1030,2169,1075,1094
"경기도","처인구",7세,2126,1050,1076,2225,1126,1099,2153,1126,1027
"경기도","기흥구",0세,3366,1740,1626,4220,2165,2055,3835,1962,1873
"경기도","기흥구",1세,4342,2192,2150,4630,2390,2240,4669,2399,2270
"경기도","기흥구",2세,4833,2475,2358,4782,2443,2339,4852,2473,2379
"경기도","기흥구",3세,4925,2495,2430,5658,2855,2803,4984,2519,2465
"경기도","기흥구",4세,5234,2667,2567,5471,2777,2694,5764,2937,2827
"경기도","기흥구",5세,5683,2940,2743,5634,2900,2734,5544,2840,2704
"경기도","기흥구",6세,5707,2935,2772,5228,2723,2505,5629,2894,2735
"경기도","기흥구",7세,5319,2792,2527,5704,2962,2742,5192,2709,2483
"경기도","수지구",0세,2533,1297,1236,3133,1638,1495,2736,1406,1330
"경기도","수지구",1세,3185,1632,1553,3582,1784,1798,3372,1760,1612
"경기도","수지구",2세,3507,1798,1709,3688,1915,1773,3581,1810,1771
"경기도","수지구",3세,3659,1851,1808,4158,2206,1952,3680,1920,1760
"경기도","수지구",4세,4039,2096,1943,4097,2075,2022,4169,2181,1988
"경기도","수지구",5세,3992,2079,1913,4247,2196,2051,4085,2064,2021
"경기도","수지구",6세,4389,2239,2150,4267,2164,2103,4261,2227,2034
"경기도","수지구",7세,4116,2091,2025,4474,2326,2148,4260,2193,2067
"경기도","파주시",0세,3498,1750,1748,4074,2055,2019,3870,2027,1843
"경기도","파주시",1세,4286,2258,2028,4547,2334,2213,4453,2240,2213
"경기도","파주시",2세,4628,2297,2331,4574,2317,2257,4692,2418,2274
"경기도","파주시",3세,4666,2388,2278,5113,2615,2498,4671,2342,2329
"경기도","파주시",4세,4948,2516,2432,5016,2585,2431,5222,2672,2550
"경기도","파주시",5세,5118,2639,2479,5189,2594,2595,5022,2583,2439
"경기도","파주시",6세,5264,2652,2612,4710,2451,2259,5190,2590,2600
"경기도","파주시",7세,4836,2458,2378,4960,2561,2399,4742,2460,2282
"경기도","이천시",0세,1780,936,844,1972,986,986,1887,962,925
"경기도","이천시",1세,2111,1066,1045,2021,1075,946,2175,1105,1070
"경기도","이천시",2세,2198,1147,1051,2031,1027,1004,2159,1134,1025
"경기도","이천시",3세,2143,1096,1047,2289,1152,1137,2102,1049,1053
"경기도","이천시",4세,2251,1138,1113,2251,1178,1073,2368,1195,1173
"경기도","이천시",5세,2287,1160,1127,2238,1180,1058,2323,1219,1104
"경기도","이천시",6세,2392,1252,1140,2044,1067,977,2298,1222,1076
"경기도","이천시",7세,2141,1135,1006,2188,1145,1043,2089,1083,1006
"경기도","안성시",0세,1226,621,605,1461,743,718,1402,721,681
"경기도","안성시",1세,1530,780,750,1561,798,763,1604,816,788
"경기도","안성시",2세,1612,848,764,1676,887,789,1614,817,797
"경기도","안성시",3세,1636,837,799,1844,911,933,1720,909,811
"경기도","안성시",4세,1791,935,856,1933,993,940,1887,946,941
"경기도","안성시",5세,1845,917,928,1837,945,892,1951,1002,949
"경기도","안성시",6세,1968,998,970,1833,941,892,1828,946,882
"경기도","안성시",7세,1783,925,858,1904,978,926,1828,937,891
"경기도","김포시",0세,3352,1727,1625,3706,1915,1791,3451,1756,1695
"경기도","김포시",1세,4355,2205,2150,4223,2138,2085,4213,2169,2044
"경기도","김포시",2세,4755,2447,2308,4147,2140,2007,4440,2269,2171
"경기도","김포시",3세,4681,2398,2283,4897,2426,2471,4378,2243,2135
"경기도","김포시",4세,5094,2594,2500,4703,2386,2317,5090,2528,2562
"경기도","김포시",5세,5400,2653,2747,4582,2441,2141,4898,2463,2435
"경기도","김포시",6세,5171,2743,2428,4265,2206,2059,4748,2538,2210
